id       trxType     moveType     accountType     amount       movedAt                      accountName                   
--------------------------------------------------------------------------------------------------------------------------
2647     2           2            1               -20.0        2022-12-08T23:25:00.000Z     AC                            
4374     2           2            1               -10.0        2024-09-19T15:36:14.164Z     AC                            
415      2           2            1               -30.0        2020-12-15T16:15:00.000Z     AC                            
414      2           2            1               -200.0       2020-12-10T16:00:00.000Z     AC                            
405      2           2            1               -80.0        2020-12-08T16:15:00.000Z     AC                            
404      2           2            1               -115.0       2020-12-08T16:00:00.000Z     AC                            
3913     2           2            1               -60.0        2024-04-19T20:05:44.979Z     AC                            
4868     2           2            1               -90.0        2025-04-05T17:16:52.487Z     AC                            
4869     2           2            1               -30.0        2025-04-05T17:21:52.487Z     AC                            
2660     2           2            1               -25.0        2022-12-17T20:24:00.000Z     AC                            
2788     2           2            1               -20.0        2023-02-11T18:08:00.000Z     AC                            
3169     2           2            1               -110.0       2023-06-10T18:23:00.000Z     AC                            
3167     2           2            1               -70.0        2023-06-10T18:05:00.000Z     AC                            
5407     2           2            1               -40.0        2025-10-18T15:58:20.349Z     AC                            
4371     2           2            1               -90.0        2024-09-19T15:24:01.000Z     AC                            
2869     2           2            1               -25.0        2023-03-18T15:27:00.000Z     AC                            
3912     2           2            1               -60.0        2024-04-19T20:03:08.174Z     AC                            
2506     2           2            1               -100.0       2022-10-09T18:36:00.000Z     AC                            
4685     2           2            1               -55.0        2025-01-31T17:48:07.969Z     AC                            
3904     2           2            1               -45.0        2024-04-18T21:01:21.386Z     AC                            
4970     2           2            1               -14.0        2025-04-27T01:31:25.947Z     ACC. VEHICULAR                
3015     2           2            1               -3.0         2023-04-22T17:39:00.000Z     ACC. VEHICULAR                
3014     2           2            1               -26.0        2023-04-22T16:02:00.000Z     ACC. VEHICULAR                
3010     2           2            1               -22.0        2023-04-21T15:56:00.000Z     ACC. VEHICULAR                
3817     2           2            1               -7.5         2024-04-11T01:20:25.000Z     ACC. VEHICULAR                
696      2           2            1               -5.0         2021-02-28T17:30:00.000Z     ACC. VEHICULAR                
4052     2           2            1               -10.0        2024-06-06T15:19:08.685Z     ACC. VEHICULAR                
4317     2           2            1               -24.0        2024-08-31T18:36:34.023Z     ACC. VEHICULAR                
4934     2           2            1               -32.0        2025-04-17T18:09:03.597Z     ACC. VEHICULAR                
5003     2           2            1               -200.0       2025-05-02T19:54:11.000Z     ACC. VEHICULAR                
5008     2           2            1               -80.0        2025-05-02T20:15:02.298Z     ACC. VEHICULAR                
5009     2           2            1               -30.0        2025-05-02T22:57:29.235Z     ACC. VEHICULAR                
5010     2           2            1               -10.0        2025-05-02T23:02:29.235Z     ACC. VEHICULAR                
4933     2           2            1               -9.5         2025-04-17T16:16:23.582Z     ACC. VEHICULAR                
376      2           2            1               -27.17       2020-12-01T16:00:00.000Z     ACC. VEHICULAR                
97       2           2            1               0.0          2020-08-01T05:00:00.000Z     ACC. VEHICULAR                
2146     2           2            1               -20.0        2022-05-17T14:09:00.000Z     ACC. VEHICULAR                
4356     2           2            1               -4.0         2024-09-13T20:40:18.249Z     ACC. VEHICULAR                
4318     2           2            1               -22.0        2024-08-31T18:38:05.155Z     ACC. VEHICULAR                
1996     2           2            1               -30.0        2022-04-16T21:01:00.000Z     ACC. VEHICULAR                
997      2           2            1               -25.0        2021-05-10T16:00:00.000Z     ACCESORIOS PC                 
2959     2           2            1               -20.0        2023-04-13T18:44:00.000Z     ACCESORIOS PC                 
4999     2           2            1               -280.0       2025-05-01T17:50:19.086Z     ACCESORIOS PC                 
