id       trxType     moveType     accountType     amount      movedAt                      accountName          
----------------------------------------------------------------------------------------------------------------
1731     1           1            3               200.0       2022-01-17T13:57:00.000Z     BANQUITO # 01        
2346     1           1            3               300.0       2022-08-06T12:01:00.000Z     BANQUITO # 02        
2634     1           1            3               500.0       2022-12-06T14:12:00.000Z     BANQUITO # 03        
3179     1           1            3               700.0       2023-06-16T18:26:00.000Z     BANQUITO # 04        
3589     1           1            3               1000.0      2024-01-01T00:36:00.000Z     BANQUITO # 05        
4108     7           1            3               1000.0      2024-07-01T19:07:30.042Z     BANQUITO # 06        
4673     7           1            3               1000.0      2025-01-30T21:13:04.338Z     BANQUITO # 07        
5307     7           1            3               1000.0      2025-09-03T19:02:48.081Z     BANQUITO # 08        
2022     1           1            3               2000.0      2022-04-21T17:02:00.000Z     BEATRIZ              
3144     1           1            3               1000.0      2023-06-01T18:45:00.000Z     BEATRIZ              
4066     7           1            3               500.0       2024-06-12T22:58:54.719Z     BEATRIZ              
5321     7           1            3               500.0       2025-09-08T15:17:38.491Z     BEATRIZ              
5530     7           1            3               500.0       2025-12-08T15:11:06.000Z     BEATRIZ              
2492     1           1            3               1000.0      2022-10-07T17:07:00.000Z     BEATRIZ              
3371     1           1            3               350.0       2023-09-05T02:46:00.000Z     BLANQUITA            
50       1           1            3               5000.0      2020-08-01T05:00:00.000Z     CONECEL # 01         
51       1           1            3               2700.0      2020-08-01T05:00:00.000Z     CONECEL # 02         
112      1           1            3               0.0         2020-08-01T05:00:00.000Z     CONECEL # 03         
661      1           1            3               670.0       2021-02-24T14:00:00.000Z     CONECEL # 03         
1385     1           1            3               7000.0      2021-09-25T14:13:00.000Z     CONECEL # 04         
2420     1           1            3               1000.0      2022-09-08T22:12:00.000Z     CONECEL # 05         
3247     1           1            3               1000.0      2023-07-19T00:31:00.000Z     CONECEL # 06         
4543     7           1            3               1000.0      2024-12-09T19:01:25.474Z     CONECEL # 07         
5169     7           1            3               3000.0      2025-07-16T11:14:42.355Z     CONECEL # 08         
5607     7           1            3               1000.0      2026-01-10T02:53:26.166Z     CONECEL # 09         
3538     1           1            3               89.74       2023-12-09T01:17:00.000Z     DE PRATI             
3607     1           1            3               59.72       2024-01-06T19:49:00.000Z     DE PRATI             
3992     1           1            3               63.63       2024-05-11T18:43:32.462Z     DE PRATI             
3530     1           1            3               96.77       2023-12-03T01:07:00.000Z     DE PRATI             
4026     7           1            3               76.86       2024-05-26T18:26:31.645Z     DE PRATI             
4017     7           1            3               133.0       2024-05-21T00:25:25.305Z     DE PRATI             
2490     1           1            3               121.32      2022-10-05T01:08:00.000Z     DE PRATI             
4435     7           1            3               101.0       2024-10-19T00:42:07.178Z     DE PRATI             
2699     1           1            3               30.0        2023-01-09T16:22:00.000Z     DLAYANAC             
2798     1           1            3               100.0       2023-02-17T22:58:00.000Z     DLAYANAC             
1735     1           1            3               150.0       2022-01-20T00:13:00.000Z     DLAYANAC             
1382     1           1            3               300.0       2021-09-16T01:09:00.000Z     DLAYANAC             
3668     1           1            3               121.0       2024-02-10T18:01:00.000Z     DON GUTIÉRREZ        
52       1           1            3               4038.61     2020-08-01T05:00:00.000Z     GUAYAQUIL # 01       
5154     7           1            3               100.0       2025-07-04T23:11:36.000Z     JORDY                
2730     1           1            3               250.0       2023-01-21T18:38:00.000Z     MADRE                
5599     7           1            3               100.0       2026-01-02T21:14:43.158Z     MADRE                
2389     1           1            3               20.0        2022-08-28T13:20:00.000Z     MADRE                
2170     1           1            3               60.0        2022-05-24T03:06:00.000Z     MADRE                
3766     1           1            3               100.0       2024-03-23T22:36:00.000Z     MADRE                
3815     7           1            3               50.0        2024-04-08T03:53:51.000Z     MADRE                
4047     7           1            3               200.0       2024-06-03T15:20:33.000Z     MADRE                
4212     7           1            3               200.0       2024-08-05T01:22:18.000Z     MADRE                
1294     1           1            3               300.0       2021-08-30T02:07:00.000Z     MADRE                
2311     1           1            3               100.0       2022-07-22T14:56:00.000Z     MADRE                
1534     1           1            3               30.0        2021-11-02T22:01:00.000Z     MASTERCARD           
1537     1           1            3               30.0        2021-11-04T23:53:00.000Z     MASTERCARD           
1531     1           1            3               9.0         2021-10-31T18:42:00.000Z     MASTERCARD           
1498     1           1            3               33.0        2021-10-26T00:09:00.000Z     MASTERCARD           
217      1           1            3               121.45      2020-10-09T16:00:00.000Z     MASTERCARD           
1489     1           1            3               30.0        2021-10-20T00:39:00.000Z     MASTERCARD           
1479     1           1            3               97.5        2021-10-16T13:09:00.000Z     MASTERCARD           
1464     1           1            3               42.0        2021-10-11T17:39:00.000Z     MASTERCARD           
1460     1           1            3               25.0        2021-10-07T18:10:00.000Z     MASTERCARD           
1284     1           1            3               48.0        2021-08-16T17:00:00.000Z     MASTERCARD           
1492     1           1            3               60.0        2021-10-20T23:54:00.000Z     MASTERCARD           
1555     1           1            3               44.0        2021-11-13T02:32:00.000Z     MASTERCARD           
264      1           1            3               17.0        2020-10-29T13:00:00.000Z     MASTERCARD           
1596     1           1            3               40.0        2021-11-28T19:22:00.000Z     MASTERCARD           
1623     1           1            3               25.0        2021-12-02T23:42:00.000Z     MASTERCARD           
201      1           1            3               7.5         2020-10-05T02:00:00.000Z     MASTERCARD           
259      1           1            3               31.0        2020-10-26T22:30:00.000Z     MASTERCARD           
198      1           1            3               130.0       2020-10-03T16:00:00.000Z     MASTERCARD           
1280     1           1            3               44.0        2021-08-15T22:10:00.000Z     MASTERCARD           
172      1           1            3               46.0        2020-09-28T23:30:00.000Z     MASTERCARD           
165      1           1            3               39.7        2020-09-26T20:30:00.000Z     MASTERCARD           
164      1           1            3               25.0        2020-09-24T15:15:00.000Z     MASTERCARD           
152      1           1            3               68.0        2020-09-21T20:45:00.000Z     MASTERCARD           
145      1           1            3               110.0       2020-09-19T16:30:00.000Z     MASTERCARD           
132      1           1            3               220.77      2020-09-13T00:30:00.000Z     MASTERCARD           
80       1           1            3               1663.11     2020-08-01T05:00:00.000Z     MASTERCARD           
1591     1           1            3               42.0        2021-11-25T00:27:00.000Z     MASTERCARD           
