id       trxType     moveType     accountType     amount       movedAt                      accountName                  
-------------------------------------------------------------------------------------------------------------------------
1870     2           2            4               -50.0        2022-03-02T14:40:00.000Z     BANQUITO # 01 (PAGOS)        
1931     2           2            4               -50.0        2022-04-01T20:35:00.000Z     BANQUITO # 01 (PAGOS)        
2095     2           2            4               -50.0        2022-04-30T16:31:00.000Z     BANQUITO # 01 (PAGOS)        
2190     2           2            4               -50.0        2022-05-31T12:48:00.000Z     BANQUITO # 01 (PAGOS)        
2413     2           2            4               -50.0        2022-08-31T13:42:00.000Z     BANQUITO # 02 (PAGOS)        
2481     2           2            4               -50.0        2022-10-01T21:24:00.000Z     BANQUITO # 02 (PAGOS)        
2563     2           2            4               -50.0        2022-10-29T15:38:00.000Z     BANQUITO # 02 (PAGOS)        
2627     2           2            4               -50.0        2022-12-02T12:15:00.000Z     BANQUITO # 02 (PAGOS)        
2635     2           2            4               -100.0       2022-12-06T14:26:00.000Z     BANQUITO # 02 (PAGOS)        
3180     2           2            4               -200.0       2023-06-16T20:27:00.000Z     BANQUITO # 03 (PAGOS)        
2768     2           2            4               -50.0        2023-02-01T14:36:00.000Z     BANQUITO # 03 (PAGOS)        
2708     2           2            4               -50.0        2023-01-14T13:30:00.000Z     BANQUITO # 03 (PAGOS)        
3155     2           2            4               -50.0        2023-06-06T00:27:00.000Z     BANQUITO # 03 (PAGOS)        
2841     2           2            4               -50.0        2023-03-05T19:22:00.000Z     BANQUITO # 03 (PAGOS)        
3055     2           2            4               -50.0        2023-04-29T13:56:00.000Z     BANQUITO # 03 (PAGOS)        
2912     2           2            4               -50.0        2023-04-07T14:19:00.000Z     BANQUITO # 03 (PAGOS)        
3302     2           2            4               -50.0        2023-08-03T20:17:00.000Z     BANQUITO # 04 (PAGOS)        
3587     2           2            4               -200.0       2023-12-31T22:03:00.000Z     BANQUITO # 04 (PAGOS)        
3224     2           2            4               -50.0        2023-07-01T14:43:00.000Z     BANQUITO # 04 (PAGOS)        
3590     2           2            4               -200.0       2024-01-01T00:42:00.000Z     BANQUITO # 04 (PAGOS)        
3414     2           2            4               -50.0        2023-09-30T15:32:00.000Z     BANQUITO # 04 (PAGOS)        
3533     2           2            4               -50.0        2023-12-12T00:11:00.000Z     BANQUITO # 04 (PAGOS)        
3359     2           2            4               -50.0        2023-09-05T14:03:00.000Z     BANQUITO # 04 (PAGOS)        
3488     2           2            4               -50.0        2023-11-14T01:22:00.000Z     BANQUITO # 04 (PAGOS)        
4109     6           2            4               -500.0       2024-07-01T19:12:30.042Z     BANQUITO # 05 (PAGOS)        
4071     6           2            4               -100.0       2024-06-14T01:37:00.593Z     BANQUITO # 05 (PAGOS)        
3865     6           2            4               -100.0       2024-04-15T15:59:22.458Z     BANQUITO # 05 (PAGOS)        
3741     2           2            4               -100.0       2024-03-13T20:04:00.000Z     BANQUITO # 05 (PAGOS)        
3675     2           2            4               -100.0       2024-02-15T20:16:00.000Z     BANQUITO # 05 (PAGOS)        
3998     6           2            4               -100.0       2024-05-15T16:34:26.269Z     BANQUITO # 05 (PAGOS)        
4347     6           2            4               -100.0       2024-09-13T20:20:18.249Z     BANQUITO # 06 (PAGOS)        
4482     6           2            4               -100.0       2024-11-15T15:04:22.934Z     BANQUITO # 06 (PAGOS)        
4255     6           2            4               -100.0       2024-08-15T16:26:45.262Z     BANQUITO # 06 (PAGOS)        
4155     6           2            4               -100.0       2024-07-13T22:14:04.234Z     BANQUITO # 06 (PAGOS)        
4564     6           2            4               -100.0       2024-12-13T14:31:45.000Z     BANQUITO # 06 (PAGOS)        
4674     6           2            4               -100.0       2025-01-30T23:17:56.553Z     BANQUITO # 06 (PAGOS)        
4676     6           2            4               -100.0       2025-01-30T23:22:56.553Z     BANQUITO # 06 (PAGOS)        
4678     6           2            4               -100.0       2025-01-30T23:27:56.553Z     BANQUITO # 06 (PAGOS)        
4427     6           2            4               -100.0       2024-10-15T15:51:29.982Z     BANQUITO # 06 (PAGOS)        
4631     6           2            4               -100.0       2025-01-14T17:41:21.844Z     BANQUITO # 06 (PAGOS)        
