id       trxType     moveType     accountType     amount     movedAt                      accountName               
--------------------------------------------------------------------------------------------------------------------
5        1           1            2               437.0      2020-08-01T05:00:00.000Z     AHORRO CONECEL # 0        
3636     1           1            2               40.0       2024-01-31T11:01:00.000Z     AHORRO CONECEL # 0        
4313     4           1            2               40.0       2024-08-29T22:59:55.678Z     AHORRO CONECEL # 0        
2261     1           1            2               25.0       2022-06-29T17:15:00.000Z     AHORRO CONECEL # 0        
5354     4           1            2               40.0       2025-09-30T00:05:29.970Z     AHORRO CONECEL # 0        
4652     4           1            2               40.0       2025-01-29T19:06:16.188Z     AHORRO CONECEL # 0        
2179     1           1            2               25.0       2022-05-31T11:47:00.000Z     AHORRO CONECEL # 0        
3713     1           1            2               40.0       2024-02-29T12:24:00.000Z     AHORRO CONECEL # 0        
2081     1           1            2               25.0       2022-04-30T14:39:00.000Z     AHORRO CONECEL # 0        
5426     4           1            2               40.0       2025-10-30T11:23:00.077Z     AHORRO CONECEL # 0        
2319     1           1            2               25.0       2022-07-29T17:48:00.000Z     AHORRO CONECEL # 0        
4578     4           1            2               40.0       2024-12-21T00:05:15.087Z     AHORRO CONECEL # 0        
3774     4           1            2               40.0       2024-03-28T12:09:36.134Z     AHORRO CONECEL # 0        
1853     1           1            2               25.0       2022-02-28T15:01:00.000Z     AHORRO CONECEL # 0        
5466     4           1            2               0.01       2025-10-07T00:03:24.000Z     AHORRO CONECEL # 0        
3130     1           1            2               25.0       2023-05-30T01:07:00.000Z     AHORRO CONECEL # 0        
3961     4           1            2               40.0       2024-04-30T21:42:17.000Z     AHORRO CONECEL # 0        
4508     4           1            2               40.0       2024-11-28T17:46:29.323Z     AHORRO CONECEL # 0        
1673     1           1            2               25.0       2021-12-21T15:08:00.000Z     AHORRO CONECEL # 0        
4443     4           1            2               40.0       2024-10-30T14:12:00.851Z     AHORRO CONECEL # 0        
1616     1           1            2               25.0       2021-11-30T15:06:00.000Z     AHORRO CONECEL # 0        
1914     1           1            2               25.0       2022-03-31T15:45:00.000Z     AHORRO CONECEL # 0        
5500     4           1            2               40.0       2025-11-28T17:40:07.000Z     AHORRO CONECEL # 0        
3557     1           1            2               40.0       2023-12-20T22:07:00.000Z     AHORRO CONECEL # 0        
5284     4           1            2               40.0       2025-08-28T22:07:14.220Z     AHORRO CONECEL # 0        
5052     4           1            2               40.0       2025-05-30T02:23:22.138Z     AHORRO CONECEL # 0        
3035     1           1            2               25.0       2023-04-28T22:32:00.000Z     AHORRO CONECEL # 0        
4983     4           1            2               40.0       2025-04-30T02:37:51.142Z     AHORRO CONECEL # 0        
5127     4           1            2               40.0       2025-06-28T02:01:08.840Z     AHORRO CONECEL # 0        
3238     1           1            2               116.0      2023-07-05T12:50:00.000Z     AHORRO CONECEL # 0        
2882     1           1            2               25.0       2023-03-29T23:07:00.000Z     AHORRO CONECEL # 0        
3269     1           1            2               40.0       2023-07-29T17:40:00.000Z     AHORRO CONECEL # 0        
2805     1           1            2               25.0       2023-02-28T01:05:00.000Z     AHORRO CONECEL # 0        
3332     1           1            2               40.0       2023-08-30T01:03:00.000Z     AHORRO CONECEL # 0        
2395     1           1            2               25.0       2022-08-31T00:50:00.000Z     AHORRO CONECEL # 0        
2763     1           1            2               25.0       2023-01-31T23:14:00.000Z     AHORRO CONECEL # 0        
2667     1           1            2               25.0       2022-12-22T13:51:00.000Z     AHORRO CONECEL # 0        
3399     1           1            2               40.0       2023-09-29T23:20:00.000Z     AHORRO CONECEL # 0        
5216     4           1            2               40.0       2025-07-30T00:23:10.840Z     AHORRO CONECEL # 0        
2609     1           1            2               25.0       2022-11-30T02:53:00.000Z     AHORRO CONECEL # 0        
3449     1           1            2               40.0       2023-10-30T14:43:00.000Z     AHORRO CONECEL # 0        
2548     1           1            2               25.0       2022-10-29T13:28:00.000Z     AHORRO CONECEL # 0        
4767     4           1            2               40.0       2025-02-26T21:34:10.265Z     AHORRO CONECEL # 0        
2461     1           1            2               25.0       2022-09-30T21:47:00.000Z     AHORRO CONECEL # 0        
3514     1           1            2               40.0       2023-11-29T22:01:00.000Z     AHORRO CONECEL # 0        
4830     4           1            2               40.0       2025-03-28T23:36:30.406Z     AHORRO CONECEL # 0        
4200     4           1            2               40.0       2024-07-30T01:02:59.830Z     AHORRO CONECEL # 0        
1778     1           1            2               25.0       2022-01-29T22:15:00.000Z     AHORRO CONECEL # 0        
3205     1           1            2               25.0       2023-06-30T15:08:00.000Z     AHORRO CONECEL # 0        
675      1           1            2               25.0       2021-02-27T14:35:00.000Z     AHORRO CONECEL # 0        
986      1           1            2               47.31      2021-05-01T02:45:00.000Z     AHORRO CONECEL # 0        
1059     1           1            2               25.0       2021-05-29T01:00:00.000Z     AHORRO CONECEL # 0        
584      1           1            2               25.0       2021-01-29T14:25:00.000Z     AHORRO CONECEL # 0        
1134     1           1            2               25.0       2021-06-29T23:30:00.000Z     AHORRO CONECEL # 0        
454      1           1            2               75.0       2020-12-19T02:30:00.000Z     AHORRO CONECEL # 0        
771      1           1            2               25.0       2021-03-30T15:00:00.000Z     AHORRO CONECEL # 0        
355      1           1            2               75.0       2020-11-28T00:00:00.000Z     AHORRO CONECEL # 0        
277      1           1            2               75.0       2020-10-30T15:50:00.000Z     AHORRO CONECEL # 0        
1307     1           1            2               25.0       2021-08-31T16:53:00.000Z     AHORRO CONECEL # 0        
