id       trxType     moveType     accountType     amount      movedAt                      accountName            
------------------------------------------------------------------------------------------------------------------
128      5           1            2               -150.0      2020-09-10T17:30:00.000Z     AHORRO CONECEL # 0     
5490     5           2            2               -90.0       2025-11-21T16:36:35.649Z     AHORRO CONECEL # 0     
3319     5           1            2               -70.0       2023-08-25T01:59:00.000Z     AHORRO CONECEL # 0     
3357     5           1            2               -50.0       2023-09-04T21:02:00.000Z     AHORRO CONECEL # 0     
3388     5           1            2               -32.0       2023-09-22T16:46:00.000Z     AHORRO CONECEL # 0     
3481     5           1            2               -57.0       2023-11-09T11:26:00.000Z     AHORRO CONECEL # 0     
3628     5           1            2               -100.0      2024-01-20T00:21:00.000Z     AHORRO CONECEL # 0     
3733     5           1            2               -90.0       2024-03-01T12:03:00.000Z     AHORRO CONECEL # 0     
3804     5           2            2               -50.0       2024-04-03T00:06:21.000Z     AHORRO CONECEL # 0     
4249     5           2            2               -100.0      2024-08-13T02:23:40.000Z     AHORRO CONECEL # 0     
4267     5           2            2               -400.0      2024-08-20T03:40:02.000Z     AHORRO CONECEL # 0     
4354     5           2            2               -250.0      2024-09-13T00:03:49.000Z     AHORRO CONECEL # 0     
4372     5           2            2               -130.0      2024-09-19T13:00:38.207Z     AHORRO CONECEL # 0     
4406     5           2            2               -120.0      2024-10-04T16:41:30.000Z     AHORRO CONECEL # 0     
4458     5           2            2               -110.0      2024-11-07T11:17:18.275Z     AHORRO CONECEL # 0     
4493     5           2            2               -25.0       2024-11-22T23:23:32.838Z     AHORRO CONECEL # 0     
4535     5           2            2               -38.0       2024-12-04T19:19:11.082Z     AHORRO CONECEL # 0     
4799     5           2            2               -100.0      2025-03-07T00:05:26.935Z     AHORRO CONECEL # 0     
5074     5           2            2               -120.0      2025-06-05T10:28:57.613Z     AHORRO CONECEL # 0     
5172     5           2            2               -65.0       2025-07-16T11:18:51.045Z     AHORRO CONECEL # 0     
5388     5           2            2               -0.01       2025-10-07T00:02:52.240Z     AHORRO CONECEL # 0     
5472     5           2            2               -40.0       2025-11-13T14:22:59.776Z     AHORRO CONECEL # 0     
2903     5           1            2               -22.0       2023-04-05T01:41:00.000Z     AHORRO CONECEL # 0     
2846     5           1            2               -21.0       2023-03-08T14:00:00.000Z     AHORRO CONECEL # 0     
3295     5           1            2               -140.0      2023-08-02T23:08:00.000Z     AHORRO CONECEL # 0     
2694     5           1            2               -40.0       2023-01-04T22:39:00.000Z     AHORRO CONECEL # 0     
157      5           1            2               -200.0      2020-09-22T14:00:00.000Z     AHORRO CONECEL # 0     
301      5           1            2               -118.0      2020-11-13T13:30:00.000Z     AHORRO CONECEL # 0     
499      5           1            2               -130.0      2020-12-29T17:30:00.000Z     AHORRO CONECEL # 0     
663      5           1            2               -85.0       2021-02-25T14:00:00.000Z     AHORRO CONECEL # 0     
761      5           1            2               -50.0       2021-03-26T14:30:00.000Z     AHORRO CONECEL # 0     
1105     5           1            2               -64.0       2021-06-15T23:00:00.000Z     AHORRO CONECEL # 0     
2779     5           1            2               -20.0       2023-02-08T23:43:00.000Z     AHORRO CONECEL # 0     
1801     5           1            2               -82.0       2022-02-04T21:25:00.000Z     AHORRO CONECEL # 0     
1880     5           1            2               -54.0       2022-03-09T02:15:00.000Z     AHORRO CONECEL # 0     
2113     5           1            2               -52.0       2022-05-05T00:30:00.000Z     AHORRO CONECEL # 0     
1698     5           1            2               -109.51     2021-12-28T00:52:00.000Z     AHORRO CONECEL # 0     
5580     5           2            2               -60.0       2025-12-23T12:51:49.988Z     AHORRO CONECEL # 0     
2577     5           1            2               -33.0       2022-11-10T22:43:00.000Z     AHORRO CONECEL # 0     
2308     5           1            2               -7.5        2022-07-19T15:23:00.000Z     AHORRO CONECEL # 0     
2356     5           1            2               -60.0       2022-08-10T01:05:00.000Z     AHORRO CONECEL # 0     
2382     5           1            2               -30.0       2022-08-24T14:54:00.000Z     AHORRO CONECEL # 0     
2486     5           1            2               -40.0       2022-10-03T23:32:00.000Z     AHORRO CONECEL # 0     
1696     5           1            2               -30.49      2021-12-28T00:37:00.000Z     AHORRO CONECEL # 1     
1539     5           1            2               -200.0      2021-11-05T03:27:00.000Z     AHORRO CONECEL # 1     
1412     5           1            2               -378.0      2021-09-29T02:26:00.000Z     AHORRO CONECEL # 1     
2248     5           1            2               -50.0       2022-06-17T23:13:00.000Z     AHORRO CONECEL # 2     
2254     5           1            2               -50.0       2022-06-23T23:55:00.000Z     AHORRO CONECEL # 2     
2282     5           1            2               -195.0      2022-07-04T12:16:00.000Z     AHORRO CONECEL # 2     
2306     5           1            2               -87.5       2022-07-19T15:15:00.000Z     AHORRO CONECEL # 2     
4218     5           2            2               -909.96     2024-08-06T14:37:31.766Z     AHORRO CONECEL # 4     
5467     5           2            2               -90.0       2025-10-07T00:04:05.000Z     AHORRO FLEX # 1        
4062     5           2            2               -20.0       2024-06-12T20:55:43.421Z     BCO. PICHINCHA         
4742     5           2            2               -300.0      2025-02-17T17:49:06.039Z     BCO. PICHINCHA         
4855     5           2            2               -18.0       2025-03-31T14:20:43.248Z     BCO. PICHINCHA         
4756     5           2            2               -150.0      2025-02-21T22:05:34.415Z     BCO. PICHINCHA         
